id,parent_id,scientific_name,vernacular_name,rank
850967,41402,Mesoplodon hotaula,Deraniyagala's Beaked Whale,species
980017,7251,Tyrannidae,Tyrant Flycatchers,family
1091452,473790,Hexanauplia,Barnacles and Copepods,class
1040842,464038,Thoracicalcarea,Thoracican Barnacles,superorder
980192,7251,Leiothrichidae,Laughingthrushes and Allies,family
1100884,508027,Litosomina,,subtribe
1067386,245417,Chelonibiinae,,subfamily
970572,41766,Odobenus rosmarus divergens,Pacific Walrus,subspecies
1118474,801536,Plesiotrochus,,genus
1045501,626289,Quilaphoetosus monachus,,species
1063781,318988,Samea carettalis,,species
1269342,326777,Pompiloidea,"Spider Wasps, Velvet Ants, and Allies",superfamily
1289299,980192,Pterorhinus,,genus
1289331,4262,Leucocarbo,Blue-eyed Shags and allies,genus
1289402,1289299,Pterorhinus chinensis,Black-throated Laughingthrush,species
1134331,131236,Cossaviricota,,phylum
1134333,1134331,Papovaviricetes,,class
1134336,1134333,Zurhausenvirales,,order
1149437,1118474,Plesiotrochus monachus,,species
1127950,35099,Suta monachus,Inland Hooded Snake,species
1155858,41424,Berardius minimus,Least Beaked Whale,species
1317267,41479,Delphininae,Long-nosed Dolphins,subfamily
1300249,84112,Pomaceinae,,subfamily
1317295,1317265,Sagmatias,,genus
1317260,424322,Inioidea,American River Dolphins,superfamily
1289590,1289331,Leucocarbo bransfieldensis,Antarctic Shag,species
1306016,41446,Phocoenoides dalli dalli,Dall's Porpoise,subspecies
1365377,3808,Pygoscelis papua taeniata,eastern gentoo penguin,subspecies
1289817,1289402,Pterorhinus chinensis monachus,Black-throated Laughingthrush (Hainan),subspecies
1365378,3808,Pygoscelis papua poncetii,South Georgian Gentoo Penguin,subspecies
1306017,41446,Phocoenoides dalli truei,True's Porpoise,subspecies
1366913,39657,Cheloniinae,Green and Flatback Sea Turtles,subfamily
1368491,1317295,Sagmatias obliquidens,Pacific White-sided Dolphin,species
1368492,1317295,Sagmatias obscurus,Dusky Dolphin,species
1368482,41479,Leucopleurus,,genus
1368483,1368482,Leucopleurus acutus,Atlantic White-sided Dolphin,species
1368489,1317295,Sagmatias australis,Peale's Dolphin,species
1408504,41526,Delphinus delphis bairdii,Eastern Pacific Long-beaked Common Dolphin,subspecies
1368490,1317295,Sagmatias cruciger,Hourglass Dolphin,species
1366569,246134,Architeuthoidea,Giant Squids and Neosquids,superfamily
1408503,41526,Delphinus delphis tropicalis,Indo-Pacific Common Dolphin,subspecies
1472437,47866,Thomisinae,,subfamily
1541533,5067,Aegypiinae,Typical Old World Vultures,subfamily
1541352,1627,Centropodinae,Coucals,subfamily
1472440,1472437,Tmarini,,tribe
1453916,41547,Balaenoptera brydei,Bryde's Whale,species
1435993,41496,Stenella longirostris centroamericana,Central American Spinner Dolphin,subspecies
1500452,41547,Balaenoptera musculus × physalus,Blue × Fin Whale,hybrid
1471381,1471382,Dyozetapapillomavirus one cmpv-i,Green Sea Turtle Papillomavirus 1,subspecies
1471382,783107,Dyozetapapillomavirus one,,species
1471380,1471382,Dyozetapapillomavirus one ccpv-i,Loggerhead Sea Turtle Papillomavirus 1,subspecies
1563907,85552,Iguania,,infraorder
1567778,1563907,Acrodonta,,parvorder
1542375,2314,Halcyoninae,Tree Kingfishers,subfamily
1633602,84165,Dalcerinae,Jewel Caterpillar Moths,subfamily
1633604,1633602,Acragini,,tribe
1602533,41521,Orcinus orca rectipinnus,Bigg's Killer Whale,subspecies
1602531,41521,Orcinus orca ater,Resident Killer Whale,subspecies
1621825,41514,Cephalorhynchus commersonii commersonii,,subspecies
1621824,41514,Cephalorhynchus commersonii kerguelenensis,Kerguelen Dolphin,subspecies
1602532,41521,Orcinus orca orca,Common Killer Whale,subspecies
1637735,132781,Priocnemini,,tribe
41775,526556,Lontra,New World River Otters,genus
41777,41775,Lontra canadensis,North American River Otter,species
236798,41777,Lontra canadensis pacifica,Western River Otter,subspecies
201557,41777,Lontra canadensis lataxina,Southeastern River Otter,subspecies
939769,41777,Lontra canadensis periclyzomae,Haida Gwaii River Otter,subspecies
1248936,41777,Lontra canadensis canadensis,Northeastern River Otter,subspecies
236795,41777,Lontra canadensis kodiacensis,Kodiak Island River Otter,subspecies
236797,41777,Lontra canadensis mira,Prince of Wales River Otter,subspecies
211197,41777,Lontra canadensis sonora,Southwestern River Otter,subspecies
