atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
53,2,Willapa Bay,02.13,Leadbetter Shoals,46 39.93,124 03.22,46.6655,-124.05367,PV,Harbor Seal,<100,LOW,Low tide,Along shoals north of Leadbetter Point during pupping season.
54,2,Willapa Bay,02.13,Leadbetter Shoals,46 38.36,124 00.89,46.63933,-124.01483,PV,Harbor Seal,100-500,LOW,Low tide,Shoals southeast of Leadbetter Point.
55,2,Willapa Bay,02.13,Leadbetter Shoals,46 39.83,124 02.47,46.66383,-124.04117,PV,Harbor Seal,<100,LOW,Low tide,Shoals northeast of Leadbetter Point during pupping season.
56,2,Willapa Bay,02.13,Leadbetter Shoals,46 39.42,124 02.21,46.657,-124.03683,PV,Harbor Seal,100-500,LOW,Low tide,On shoals east of Leadbetter Point.
57,3,Grays Harbor,03.01,South Bay,46 52.83,124 04.08,46.8805,-124.068,PV,Harbor Seal,<100,LOW,Low tide,Along intertidal channels on east side of bay.
58,3,Grays Harbor,03.02,Whitcomb Flats N,46 54.98,124 04.64,46.91633,-124.07733,PV,Harbor Seal,100-500,LOW,Low tide,Along north side of Whitcomb Flats.
59,3,Grays Harbor,03.03,E of Whitcomb Flats,46 55.04,124 02.27,46.91733,-124.03783,PV,Harbor Seal,<100,LOW,Low tide,Along south side of shoal east of Whitcomb Flats during pupping season.
60,3,Grays Harbor,03.03,E of Whitcomb Flats,46 54.81,124 03.02,46.9135,-124.05033,PV,Harbor Seal,<100,LOW,Low tide,Along south side of shoal east of Whitcomb Flats during pupping season.
61,3,Grays Harbor,03.03,E of Whitcomb Flats,46 54.43,124 02.88,46.90717,-124.048,PV,Harbor Seal,<100,LOW,Low tide,On shoal southeast of Whitcomb Flats.
62,3,Grays Harbor,03.04,Midharbor Flats,46 56.93,123 58.42,46.94883,-123.97367,PV,Harbor Seal,<100,LOW,Low tide,On shoals on north side of midharbor flats during pupping season.
63,3,Grays Harbor,03.04,Midharbor Flats,46 56.32,123 59.94,46.93867,-123.999,PV,Harbor Seal,100-500,LOW,Low tide,On shoals on northwest side of midharbor flats during pupping season. Nursery area.
64,3,Grays Harbor,03.04,Midharbor Flats,46 56.11,123 56.89,46.93517,-123.94817,PV,Harbor Seal,<100,LOW,Low tide,Shoals along south side of midharbor flats during pupping season.
65,3,Grays Harbor,03.05,Sand Island Shoals,46 57.35,123 59.81,46.95583,-123.99683,PV,Harbor Seal,100-500,LOW,Low tide,On east side of shoal near rangefinders during pupping season. Nursery area.
66,3,Grays Harbor,03.05,Sand Island Shoals Area,46 57.50,123 59.92,46.95833,-123.99867,PV,Harbor Seal,100-500,LOW,Low tide,On north side of shoal near rangefinders during pupping season.
67,3,Grays Harbor,03.06,Sand Island Shoals Area,46 56.88,124 01.13,46.948,-124.01883,PV,Harbor Seal,<100,LOW,Low tide,On south side of south shoal during pupping season.
68,3,Grays Harbor,03.06,Sand Island Shoals Area,46 56.91,124 01.61,46.9485,-124.02683,PV,Harbor Seal,500>,LOW,Low tide,On north side of south shoal.
69,3,Grays Harbor,03.07,Sand Island Shoals Area,46 57.11,124 02.05,46.95183,-124.03417,PV,Harbor Seal,<100,LOW,Low tide,On north side of middle shoal during pupping season.
70,3,Grays Harbor,03.07,Sand Island Shoals Area,46 57.19,124 01.42,46.95317,-124.02367,PV,Harbor Seal,<100,LOW,Low tide,Along southeast side of middle shoal during pupping season.
71,3,Grays Harbor,03.07,Sand Island Shoals Area,46 56.71,124 02.15,46.94517,-124.03583,PV,Harbor Seal,500>,LOW,Low tide,Along south side of middle shoal.
72,3,Grays Harbor,03.07,Sand Island Shoals Area,46 56.45,124 02.81,46.94083,-124.04683,PV,Harbor Seal,<100,LOW,Low tide,Along southwest side of middle shoal during pupping season.
73,3,Grays Harbor,03.08,Sand Island Shoals Area,46 57.03,124 02.42,46.9505,-124.04033,PV,Harbor Seal,<100,LOW,Low tide,On south side of the north shoal during pupping season.
74,3,Grays Harbor,03.09,S Side of Sand Island,46 57.38,124 02.90,46.95633,-124.04833,PV,Harbor Seal,100-500,LOW,Low tide,Shoals across channel on south side of island. Nursery area.
75,3,Grays Harbor,03.09,S of Sand Island,46 57.58,124 03.07,46.95967,-124.05117,PV,Harbor Seal,100-500,LOW,Low tide,Along channel on south side of island. Nursery area.
76,3,Grays Harbor,03.09,S Side of Sand Island,46 57.26,124 03.31,46.95433,-124.05517,PV,Harbor Seal,100-500,LOW,Low tide,Along channel on south side of island. Nursery area.
77,3,Grays Harbor,03.09,S Side of Sand Island,46 58.03,124 02.09,46.96717,-124.03483,PV,Harbor Seal,<100,LOW,Low tide,Along channel on south side of island. Nursery area.
78,3,Grays Harbor,03.09,S Side of Sand Island,46 57.61,124 03.40,46.96017,-124.05667,PV,Harbor Seal,<100,LOW,Low tide,Along channel on south side of island. Nursery area.
79,3,Grays Harbor,03.10,N Side of Sand Island,46 57.82,124 03.37,46.96367,-124.05617,PV,Harbor Seal,100-500,LOW,Low tide,Along channel on north side of island. Nursery area.
80,3,Grays Harbor,03.11,NW of Sand Island,46 58.01,124 03.83,46.96683,-124.06383,PV,Harbor Seal,100-500,LOW,Low tide,On northwest tip of Sand Island.
